Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
51.0897	-0.2964	51.0760	3.8939
51.1052	-0.2915	51.0892	4.2568
51.1194	-0.2915	51.1034	4.2571
51.1339	-0.2999	51.1177	4.2571
51.1484	-0.2915	51.1320	4.2578
51.1626	-0.2903	51.1463	4.2575
51.1768	-0.2893	51.1606	4.2568
51.1911	-0.2864	51.1749	4.2565
51.2053	-0.2989	51.1892	4.2568
51.2197	-0.2999	51.2035	4.2565
51.2340	-0.2973	51.2177	4.2571
51.2484	-0.2951	51.2320	4.2565
51.2627	-0.2967	51.2463	4.2565
51.2769	-0.2960	51.2606	4.2568
51.2913	-0.3015	51.2749	4.2558
51.3056	-0.2986	51.2892	4.2565
51.3199	-0.2915	51.3034	4.2565
51.3342	-0.3022	51.3177	4.2568
51.3486	-0.3009	51.3320	4.2565
51.3626	-0.2935	51.3463	4.2568
51.3772	-0.2964	51.3606	4.2562
51.3915	-0.2941	51.3749	4.2568
51.4055	-0.2867	51.3892	4.2571
51.4199	-0.2964	51.4034	4.2575
51.4342	-0.2989	51.4177	4.2568
51.4487	-0.2941	51.4320	4.2575
51.4629	-0.2980	51.4463	4.2562
51.4771	-0.2912	51.4606	4.2568
51.4914	-0.2944	51.4748	4.2562
51.5056	-0.2960	51.4892	4.2571
51.5200	-0.3009	51.5034	4.2565
51.5343	-0.3002	51.5177	4.2568
51.5483	-0.2989	51.5320	4.2568
51.5627	-0.2928	51.5463	4.2568
51.5770	-0.2883	51.5606	4.2571
51.5912	-0.3031	51.5748	4.2565
51.6057	-0.3047	51.5891	4.2565
51.6201	-0.3015	51.6034	4.2568
51.6342	-0.2977	51.6177	4.2565
51.6486	-0.3006	51.6320	4.2575
   NaN	   NaN	51.6456	4.1528
