Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
47.8858	-0.2932	47.8667	4.0478
47.9064	-0.3057	47.8853	4.2781
47.9268	-0.2964	47.9053	4.2790
47.9469	-0.3006	47.9254	4.2787
47.9667	-0.2928	47.9453	4.2781
47.9868	-0.3006	47.9654	4.2787
48.0068	-0.2899	47.9854	4.2787
48.0269	-0.3022	48.0054	4.2784
48.0471	-0.3006	48.0253	4.2781
48.0667	-0.3038	48.0454	4.2787
48.0870	-0.2957	48.0654	4.2787
48.1069	-0.3047	48.0854	4.2787
48.1269	-0.2925	48.1054	4.2787
48.1468	-0.2928	48.1254	4.2784
48.1669	-0.2957	48.1454	4.2787
48.1868	-0.2928	48.1653	4.2781
48.2070	-0.2986	48.1854	4.2784
48.2269	-0.2993	48.2054	4.2784
48.2471	-0.2973	48.2254	4.2787
48.2668	-0.2973	48.2454	4.2781
48.2870	-0.2977	48.2654	4.2787
48.3071	-0.3012	48.2854	4.2784
48.3269	-0.2989	48.3054	4.2784
48.3470	-0.2912	48.3253	4.2781
48.3669	-0.2964	48.3454	4.2781
48.3871	-0.2922	48.3653	4.2790
48.4071	-0.2993	48.3853	4.2784
48.4270	-0.2973	48.4054	4.2784
48.4470	-0.2970	48.4254	4.2784
48.4671	-0.3015	48.4454	4.2794
48.4868	-0.2941	48.4654	4.2787
48.5070	-0.3009	48.4854	4.2784
48.5270	-0.2944	48.5054	4.2787
48.5470	-0.3031	48.5254	4.2781
48.5675	-0.3015	48.5454	4.2787
48.5871	-0.3041	48.5654	4.2784
48.6071	-0.2941	48.5854	4.2784
48.6272	-0.3009	48.6054	4.2784
48.6470	-0.3012	48.6254	4.2784
48.6671	-0.2996	48.6453	4.2781
   NaN	   NaN	48.6647	4.2220
