Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
44.5619	-0.3064	44.5349	4.1528
44.5912	-0.2989	44.5620	4.2893
44.6199	-0.3070	44.5906	4.2893
44.6487	-0.2996	44.6192	4.2887
44.6772	-0.2964	44.6477	4.2890
44.7057	-0.3041	44.6763	4.2897
44.7344	-0.2964	44.7049	4.2893
44.7629	-0.2989	44.7336	4.2893
44.7915	-0.2993	44.7620	4.2890
44.8199	-0.2973	44.7907	4.2893
44.8489	-0.3028	44.8192	4.2900
44.8773	-0.2899	44.8478	4.2897
44.9060	-0.2973	44.8763	4.2897
44.9343	-0.3038	44.9049	4.2890
44.9629	-0.2954	44.9335	4.2890
44.9919	-0.3044	44.9620	4.2887
45.0202	-0.2986	44.9905	4.2890
45.0486	-0.2999	45.0191	4.2887
45.0774	-0.2996	45.0477	4.2884
45.1062	-0.3025	45.0762	4.2897
45.1345	-0.2967	45.1049	4.2897
45.1635	-0.2906	45.1335	4.2890
45.1920	-0.2983	45.1621	4.2890
45.2201	-0.2941	45.1906	4.2887
45.2491	-0.2922	45.2192	4.2887
45.2774	-0.2909	45.2477	4.2890
45.3062	-0.3025	45.2763	4.2897
45.3348	-0.2890	45.3049	4.2897
45.3629	-0.2944	45.3335	4.2893
45.3923	-0.2951	45.3620	4.2887
45.4205	-0.2983	45.3906	4.2890
45.4489	-0.2935	45.4191	4.2887
45.4773	-0.2993	45.4477	4.2893
45.5061	-0.2970	45.4762	4.2893
45.5347	-0.3064	45.5048	4.2893
45.5634	-0.3002	45.5334	4.2887
45.5919	-0.2944	45.5620	4.2890
45.6202	-0.2951	45.5906	4.2890
45.6491	-0.3025	45.6191	4.2887
45.6775	-0.2986	45.6478	4.2884
   NaN	   NaN	45.6755	4.2546
