Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
50.3749	-0.2890	50.3606	3.9326
50.3918	-0.2925	50.3748	4.2629
50.4076	-0.2944	50.3903	4.2626
50.4228	-0.2922	50.4056	4.2626
50.4385	-0.2954	50.4210	4.2633
50.4537	-0.2928	50.4364	4.2633
50.4692	-0.2912	50.4518	4.2633
50.4847	-0.3006	50.4671	4.2633
50.4998	-0.2957	50.4826	4.2639
50.5153	-0.2948	50.4979	4.2629
50.5307	-0.2848	50.5133	4.2636
50.5464	-0.2941	50.5287	4.2623
50.5613	-0.2915	50.5441	4.2633
50.5769	-0.2851	50.5595	4.2633
50.5922	-0.2986	50.5749	4.2629
50.6078	-0.2880	50.5902	4.2633
50.6233	-0.2960	50.6056	4.2636
50.6385	-0.2957	50.6210	4.2629
50.6538	-0.2951	50.6364	4.2633
50.6691	-0.2980	50.6518	4.2629
50.6847	-0.2912	50.6672	4.2636
50.7002	-0.2967	50.6826	4.2633
50.7155	-0.2964	50.6979	4.2633
50.7310	-0.2970	50.7133	4.2633
50.7462	-0.2864	50.7287	4.2633
50.7615	-0.2970	50.7441	4.2633
50.7771	-0.2970	50.7595	4.2633
50.7923	-0.2874	50.7748	4.2620
50.8081	-0.2973	50.7902	4.2636
50.8231	-0.2944	50.8056	4.2633
50.8386	-0.2977	50.8210	4.2633
50.8539	-0.2973	50.8364	4.2633
50.8693	-0.2948	50.8518	4.2633
50.8848	-0.3012	50.8672	4.2639
50.9000	-0.2957	50.8826	4.2636
50.9155	-0.2925	50.8979	4.2639
50.9307	-0.2874	50.9133	4.2639
50.9464	-0.2996	50.9287	4.2633
50.9617	-0.2986	50.9441	4.2636
50.9770	-0.2928	50.9595	4.2629
   NaN	   NaN	50.9741	4.1567
