Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
45.8012	-0.3041	45.7778	4.1196
45.8270	-0.2986	45.8014	4.2864
45.8522	-0.2983	45.8264	4.2868
45.8774	-0.2928	45.8513	4.2855
45.9024	-0.3022	45.8764	4.2861
45.9275	-0.3041	45.9014	4.2858
45.9527	-0.2999	45.9263	4.2858
45.9775	-0.3073	45.9513	4.2858
46.0029	-0.3080	45.9764	4.2861
46.0275	-0.2983	46.0014	4.2855
46.0526	-0.3022	46.0263	4.2858
46.0776	-0.2941	46.0513	4.2858
46.1026	-0.3057	46.0763	4.2858
46.1277	-0.3025	46.1014	4.2864
46.1527	-0.3035	46.1263	4.2861
46.1775	-0.2960	46.1513	4.2858
46.2029	-0.3002	46.1763	4.2855
46.2277	-0.3015	46.2013	4.2858
46.2526	-0.3093	46.2264	4.2864
46.2779	-0.3044	46.2513	4.2855
46.3028	-0.3025	46.2764	4.2858
46.3276	-0.2989	46.3014	4.2861
46.3527	-0.3035	46.3263	4.2858
46.3777	-0.3006	46.3514	4.2861
46.4027	-0.3070	46.3764	4.2868
46.4277	-0.3038	46.4013	4.2858
46.4527	-0.2986	46.4264	4.2858
46.4777	-0.2954	46.4514	4.2858
46.5029	-0.3031	46.4764	4.2868
46.5276	-0.3018	46.5014	4.2861
46.5526	-0.3057	46.5264	4.2861
46.5776	-0.3015	46.5514	4.2861
46.6030	-0.2989	46.5763	4.2861
46.6278	-0.3028	46.6013	4.2858
46.6529	-0.3064	46.6263	4.2858
46.6777	-0.2960	46.6513	4.2855
46.7026	-0.2941	46.6763	4.2861
46.7277	-0.3025	46.7014	4.2858
46.7527	-0.3038	46.7264	4.2861
46.7780	-0.3102	46.7513	4.2858
   NaN	   NaN	46.7756	4.2475
