Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
43.1332	-0.3189	43.1016	4.1857
43.1681	-0.3138	43.1333	4.2926
43.2018	-0.3128	43.1667	4.2922
43.2347	-0.3167	43.2001	4.2919
43.2681	-0.3173	43.2333	4.2919
43.3017	-0.3102	43.2668	4.2922
43.3346	-0.3170	43.3000	4.2916
43.3679	-0.3057	43.3334	4.2916
43.4015	-0.3096	43.3667	4.2919
43.4350	-0.3186	43.4001	4.2916
43.4681	-0.3208	43.4334	4.2922
43.5014	-0.3138	43.4667	4.2919
43.5349	-0.3228	43.5001	4.2922
43.5683	-0.3115	43.5333	4.2922
43.6011	-0.3179	43.5667	4.2919
43.6345	-0.3131	43.6000	4.2919
43.6678	-0.3179	43.6334	4.2919
43.7015	-0.3163	43.6668	4.2922
43.7348	-0.3141	43.7001	4.2922
43.7680	-0.3105	43.7334	4.2922
43.8010	-0.3047	43.7666	4.2916
43.8344	-0.3218	43.8000	4.2919
43.8677	-0.3134	43.8334	4.2922
43.9010	-0.3176	43.8666	4.2919
43.9345	-0.3118	43.9001	4.2913
43.9676	-0.3054	43.9335	4.2919
44.0008	-0.3170	43.9667	4.2919
44.0344	-0.3102	44.0001	4.2926
44.0680	-0.3218	44.0334	4.2922
44.1011	-0.3157	44.0667	4.2922
44.1342	-0.3157	44.1000	4.2922
44.1679	-0.3167	44.1333	4.2922
44.2008	-0.3189	44.1667	4.2919
44.2349	-0.3128	44.2000	4.2922
44.2674	-0.3131	44.2333	4.2913
44.3014	-0.3196	44.2667	4.2922
44.3349	-0.3083	44.3001	4.2926
44.3679	-0.3080	44.3333	4.2919
44.4015	-0.3041	44.3667	4.2919
44.4346	-0.3025	44.4000	4.2919
   NaN	   NaN	44.4326	4.2674
