Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
55.1272	-0.2935	55.1167	3.6853
55.1373	-0.2951	55.1257	4.1937
55.1467	-0.2960	55.1352	4.1947
55.1563	-0.2977	55.1448	4.1937
55.1659	-0.2935	55.1543	4.1940
55.1756	-0.3002	55.1638	4.1947
55.1850	-0.2925	55.1733	4.1937
55.1946	-0.2906	55.1828	4.1943
55.2040	-0.2938	55.1924	4.1940
55.2136	-0.2899	55.2019	4.1940
55.2231	-0.2944	55.2114	4.1943
55.2326	-0.2996	55.2209	4.1947
55.2422	-0.2948	55.2305	4.1937
55.2519	-0.2944	55.2400	4.1937
55.2614	-0.2935	55.2495	4.1940
55.2708	-0.2973	55.2590	4.1934
55.2804	-0.2983	55.2686	4.1937
55.2899	-0.2919	55.2781	4.1943
55.2995	-0.2948	55.2876	4.1947
55.3093	-0.2925	55.2971	4.1943
55.3187	-0.2999	55.3067	4.1927
55.3282	-0.2857	55.3162	4.1943
55.3376	-0.2973	55.3257	4.1940
55.3472	-0.2909	55.3352	4.1940
55.3570	-0.3051	55.3447	4.1940
55.3666	-0.2935	55.3543	4.1937
55.3759	-0.2948	55.3638	4.1937
55.3855	-0.2935	55.3733	4.1943
55.3952	-0.2928	55.3828	4.1937
55.4048	-0.2996	55.3924	4.1931
55.4232	-0.2993	55.4019	4.1934
55.4328	-0.2912	55.4114	4.1940
55.4426	-0.2996	55.4209	4.1937
55.4531	-0.2948	55.4305	4.1934
55.4707	-0.2964	55.4400	4.1940
55.4806	-0.2938	55.4495	4.1947
55.4904	-0.2951	55.4590	4.1934
55.5002	-0.2922	55.4686	4.1934
   NaN	   NaN	55.4781	4.1943
   NaN	   NaN	55.4876	4.1947
   NaN	   NaN	55.4965	3.9799
