Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
46.8986	-0.3035	46.8778	4.0836
46.9216	-0.3064	46.8986	4.2826
46.9441	-0.3006	46.9209	4.2823
46.9667	-0.2983	46.9431	4.2826
46.9888	-0.2973	46.9654	4.2826
47.0110	-0.3006	46.9875	4.2823
47.0333	-0.3051	47.0098	4.2826
47.0555	-0.3031	47.0320	4.2829
47.0778	-0.2993	47.0542	4.2823
47.1003	-0.2983	47.0764	4.2823
47.1223	-0.3025	47.0986	4.2826
47.1446	-0.2928	47.1209	4.2826
47.1667	-0.3051	47.1432	4.2826
47.1889	-0.3015	47.1653	4.2826
47.2112	-0.2973	47.1875	4.2829
47.2334	-0.2989	47.2098	4.2829
47.2557	-0.3070	47.2320	4.2823
47.2780	-0.3015	47.2542	4.2826
47.3002	-0.3002	47.2765	4.2829
47.3223	-0.3025	47.2987	4.2826
47.3448	-0.3002	47.3209	4.2823
47.3668	-0.2960	47.3432	4.2829
47.3891	-0.3044	47.3653	4.2823
47.4112	-0.3047	47.3876	4.2826
47.4336	-0.3006	47.4098	4.2823
47.4558	-0.3009	47.4320	4.2823
47.4781	-0.3018	47.4542	4.2819
47.5005	-0.3015	47.4765	4.2826
47.5223	-0.3028	47.4987	4.2829
47.5447	-0.2909	47.5209	4.2823
47.5667	-0.3018	47.5431	4.2829
47.5894	-0.2977	47.5654	4.2826
47.6113	-0.2896	47.5875	4.2826
47.6334	-0.2967	47.6098	4.2826
47.6556	-0.3012	47.6320	4.2823
47.6779	-0.2960	47.6542	4.2823
47.7002	-0.3006	47.6765	4.2823
47.7226	-0.2957	47.6987	4.2829
47.7443	-0.2925	47.7210	4.2823
47.7669	-0.2996	47.7432	4.2823
   NaN	   NaN	47.7646	4.2233
