Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
55.6079	-0.2944	55.5977	3.6640
55.6182	-0.3060	55.6063	4.1805
55.6271	-0.2964	55.6153	4.1815
55.6363	-0.2989	55.6245	4.1821
55.6455	-0.3002	55.6335	4.1818
55.6551	-0.3006	55.6426	4.1821
55.6722	-0.3031	55.6517	4.1824
55.6818	-0.2925	55.6608	4.1824
55.6913	-0.2973	55.6699	4.1818
55.7086	-0.2928	55.6790	4.1828
55.7182	-0.2890	55.6881	4.1821
55.7361	-0.2986	55.6972	4.1815
55.7456	-0.2973	55.7063	4.1821
55.7635	-0.2993	55.7154	4.1824
55.7731	-0.2986	55.7244	4.1811
55.7906	-0.2989	55.7335	4.1821
55.8008	-0.3047	55.7426	4.1821
55.8178	-0.2909	55.7517	4.1821
55.8277	-0.3018	55.7608	4.1824
55.8449	-0.2964	55.7699	4.1824
55.8634	-0.2973	55.7790	4.1828
55.8817	-0.2964	55.7881	4.1828
55.8998	-0.2954	55.7972	4.1824
55.9179	-0.3012	55.8063	4.1818
55.9360	-0.3022	55.8154	4.1815
55.9542	-0.3015	55.8245	4.1811
   NaN	   NaN	55.8335	4.1811
   NaN	   NaN	55.8426	4.1821
   NaN	   NaN	55.8517	4.1828
   NaN	   NaN	55.8608	4.1824
   NaN	   NaN	55.8699	4.1831
   NaN	   NaN	55.8790	4.1824
   NaN	   NaN	55.8881	4.1821
   NaN	   NaN	55.8972	4.1821
   NaN	   NaN	55.9063	4.1821
   NaN	   NaN	55.9154	4.1821
   NaN	   NaN	55.9244	4.1815
   NaN	   NaN	55.9335	4.1824
   NaN	   NaN	55.9426	4.1818
   NaN	   NaN	55.9517	4.1818
   NaN	   NaN	55.9602	3.9619
