Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
51.7609	-0.2896	51.7474	3.8579
51.7745	-0.2977	51.7597	4.2497
51.7883	-0.3002	51.7730	4.2497
51.8017	-0.3006	51.7864	4.2497
51.8151	-0.2954	51.7997	4.2497
51.8284	-0.2983	51.8130	4.2501
51.8416	-0.3009	51.8263	4.2497
51.8551	-0.2967	51.8397	4.2504
51.8685	-0.2948	51.8530	4.2497
51.8819	-0.2970	51.8664	4.2504
51.8952	-0.2957	51.8797	4.2501
51.9084	-0.3022	51.8930	4.2501
51.9219	-0.2960	51.9064	4.2491
51.9353	-0.3006	51.9197	4.2497
51.9484	-0.2944	51.9330	4.2497
51.9618	-0.2980	51.9463	4.2494
51.9751	-0.3035	51.9597	4.2497
51.9885	-0.3044	51.9730	4.2497
52.0020	-0.3051	51.9864	4.2494
52.0152	-0.2964	51.9997	4.2497
52.0284	-0.2993	52.0130	4.2497
52.0418	-0.3009	52.0264	4.2497
52.0553	-0.3018	52.0397	4.2504
52.0684	-0.2996	52.0530	4.2494
52.0818	-0.2941	52.0664	4.2501
52.0952	-0.3012	52.0797	4.2507
52.1086	-0.2944	52.0930	4.2501
52.1218	-0.2954	52.1064	4.2501
52.1352	-0.2893	52.1197	4.2501
52.1486	-0.2915	52.1330	4.2501
52.1621	-0.2973	52.1464	4.2494
52.1754	-0.2980	52.1597	4.2494
52.1886	-0.2919	52.1731	4.2497
52.2020	-0.2906	52.1864	4.2501
52.2154	-0.2925	52.1997	4.2497
52.2285	-0.2922	52.2130	4.2497
52.2420	-0.2906	52.2264	4.2504
52.2554	-0.2938	52.2397	4.2497
52.2685	-0.2954	52.2530	4.2494
52.2821	-0.2925	52.2664	4.2501
   NaN	   NaN	52.2790	4.1290
