Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
39.3457	-0.3099	39.3016	4.2410
39.3538	-0.3134	39.3499	4.2958
39.3968	-0.3070	39.3998	4.2964
39.4034	-0.3054	39.4499	4.2961
39.4468	-0.3076	39.4999	4.2961
39.4529	-0.3105	39.5498	4.2961
39.4970	-0.3073	39.5998	4.2961
39.5468	-0.3073	39.6498	4.2955
39.5968	-0.3070	39.6999	4.2961
39.6027	-0.3150	39.7499	4.2958
39.6470	-0.3089	39.7998	4.2961
39.6967	-0.3054	39.8498	4.2958
39.7027	-0.3633	39.8998	4.2961
39.7468	-0.3041	39.9498	4.2958
39.7972	-0.3031	39.9998	4.2958
39.8470	-0.3112	40.0499	4.2964
39.8967	-0.3086	40.0999	4.2961
39.9026	-0.3157	40.1498	4.2961
39.9469	-0.3064	40.1998	4.2958
39.9967	-0.3121	40.2499	4.2964
40.0029	-0.3086	40.2997	4.2958
40.0469	-0.3115	40.3500	4.2961
40.0971	-0.3002	40.3998	4.2958
40.1031	-0.3076	40.4498	4.2964
40.1469	-0.3025	40.4999	4.2961
40.1971	-0.3105	40.5497	4.2958
40.2471	-0.3076	40.5998	4.2958
40.2971	-0.3067	40.6499	4.2958
40.3470	-0.3086	40.6998	4.2964
40.3970	-0.3093	40.7499	4.2961
40.4470	-0.3028	40.7999	4.2961
40.4970	-0.3047	40.8500	4.2964
40.5470	-0.3002	40.9000	4.2958
40.5972	-0.3022	40.9500	4.2961
40.6472	-0.3099	40.9999	4.2955
40.6970	-0.3028	41.0500	4.2958
40.7470	-0.3102	41.0998	4.2961
40.7970	-0.3141	41.1499	4.2964
40.8469	-0.3073	41.1997	4.2961
40.8972	-0.3102	41.2498	4.2961
40.9470	-0.3128	41.2991	4.2845
40.9971	-0.3076	   NaN	   NaN
41.0469	-0.3105	   NaN	   NaN
41.0973	-0.3173	   NaN	   NaN
41.1471	-0.3041	   NaN	   NaN
41.1971	-0.3118	   NaN	   NaN
41.2471	-0.2989	   NaN	   NaN
41.2971	-0.3115	   NaN	   NaN
