Ch1tMax	Ch1vMax	Ch2tMax	Ch2vMax	
52.9929	-0.2903	52.9808	3.7893
53.0047	-0.2845	52.9916	4.2336
53.0165	-0.2938	53.0034	4.2340
53.0284	-0.2886	53.0151	4.2333
53.0404	-0.2980	53.0270	4.2336
53.0522	-0.2944	53.0387	4.2346
53.0641	-0.2973	53.0504	4.2336
53.0761	-0.2944	53.0622	4.2340
53.0877	-0.2915	53.0740	4.2343
53.0994	-0.2906	53.0858	4.2343
53.1113	-0.2957	53.0975	4.2343
53.1229	-0.2970	53.1093	4.2346
53.1345	-0.2967	53.1210	4.2340
53.1464	-0.2903	53.1328	4.2336
53.1582	-0.2903	53.1446	4.2343
53.1698	-0.2948	53.1563	4.2343
53.1821	-0.2935	53.1681	4.2336
53.1937	-0.2967	53.1799	4.2336
53.2053	-0.2928	53.1916	4.2340
53.2170	-0.3006	53.2034	4.2340
53.2289	-0.2922	53.2152	4.2343
53.2405	-0.2986	53.2269	4.2340
53.2525	-0.3009	53.2387	4.2340
53.2642	-0.2973	53.2505	4.2340
53.2760	-0.2906	53.2622	4.2343
53.2877	-0.2903	53.2740	4.2333
53.2995	-0.2954	53.2858	4.2333
53.3113	-0.2951	53.2975	4.2346
53.3235	-0.3018	53.3093	4.2336
53.3349	-0.2941	53.3211	4.2340
53.3467	-0.2932	53.3328	4.2343
53.3583	-0.2877	53.3446	4.2336
53.3701	-0.2899	53.3563	4.2336
53.3819	-0.2944	53.3681	4.2343
53.3937	-0.2877	53.3799	4.2346
53.4054	-0.2960	53.3916	4.2333
53.4172	-0.2864	53.4034	4.2346
53.4290	-0.2848	53.4152	4.2340
53.4408	-0.2896	53.4269	4.2340
53.4526	-0.2993	53.4387	4.2352
   NaN	   NaN	53.4497	4.0630
